No,Preprocessed Violent toxic words,Sentiment Value
425,masterbate,Negative
426,fudge packer,Negative
427,payo,Negative
428,testicle,Negative
429,nastyho,Negative
430,asian,Negative
431,bulldyke,Negative
432,krap,Negative
433,fuckfreak,Negative
434,goatse,Negative
435,nudger,Negative
436,dipstick,Negative
437,cock,Negative
438,heterosexual,Negative
439,slime,Negative
440,lie,Negative
441,vatican,Negative
442,pocketpool,Negative
443,sexslave,Negative
444,masterblaster,Negative
445,hosejob,Negative
446,g spot,Negative
447,tantra,Negative
448,facefucker,Negative
449,bareback,Negative
450,spaghettibender,Negative
451,pot,Negative
452,pornflick,Negative
453,dominatrix,Negative
454,phungky,Negative
455,fuckable,Negative
456,goodpoop,Negative
457,babe,Negative
458,bestial,Negative
459,dirty pillow,Negative
460,girl,Negative
461,butt,Negative
462,assranger,Negative
463,fatah,Negative
464,vomit,Negative
465,flasher,Negative
466,big knocker,Negative
467,purinapricness,Negative
468,fraud,Negative
469,slavedriver,Negative
470,goddamned,Negative
471,asslicker,Negative
472,moneyshot,Negative
473,chink,Negative
474,kafir,Negative
475,bunga,Negative
476,spreadeagle,Negative
477,cunntt,Negative
478,wn,Negative
479,baby batter,Negative
480,camel toe,Negative
481,giant cock,Negative
482,explosion,Negative
483,excrement,Negative
484,kums,Negative
485,pindick,Negative
486,asskiss,Negative
487,chin,Negative
488,cocksucker,Negative
489,evl,Negative
490,gokkun,Negative
491,assault,Negative
492,booby,Negative
493,meatbeatter,Negative
494,kill,Negative
495,tonguethrust,Negative
496,nookey,Negative
497,footlicker,Negative
498,catholic,Negative
499,cumbubble,Negative
500,sexhouse,Negative
501,pee,Negative
502,sodomy,Negative
503,timbernigger,Negative
504,asshore,Negative
505,lezzo,Negative
506,taint love,Negative
507,hump,Negative
508,givehead,Negative
509,mickeyfinn,Negative
510,niggarding,Negative
511,pedophile,Negative
512,protestant,Negative
513,pussylover,Negative
514,sexy slim,Negative
515,felching,Negative
516,shave beaver,Negative
517,syphilis,Negative
518,wuss,Negative
519,tittie,Negative
520,spermhearder,Negative
521,fuckbuddy,Negative
522,spic,Negative
523,undress,Negative
524,tub girl,Negative
525,badfuck,Negative
526,crotch,Negative
527,sultry woman,Negative
528,fucker,Negative
529,cunteyed,Negative
530,snigger,Negative
531,redneck,Negative
532,skankfuck,Negative
533,jap,Negative
534,kigger,Negative
535,spick,Negative
536,cocksucking,Negative
537,nignog,Negative
538,shitface,Negative
539,porchmonkey,Negative
540,intheass,Negative
541,anilingus,Negative
542,goldenshower,Negative
543,kum,Negative
544,shota,Negative
545,mufflikcer,Negative
546,bitcher,Negative
547,boonie,Negative
548,executioner,Negative
549,bang,Negative
550,piker,Negative
551,come,Negative
552,pussycat,Negative
553,rusty trombone,Negative
554,urinary,Negative
555,reject,Negative
556,moslem,Negative
557,pansy,Negative
558,lugan,Negative
559,pussylicker,Negative
560,bitchslap,Negative
561,crack whore,Negative
562,dildo,Negative
563,waysted,Negative
564,arab,Negative
565,communist,Negative
566,sadom,Negative
567,mothafuckin,Negative
568,fungus,Negative
569,penile,Negative
570,drink,Negative
571,lesbin,Negative
572,stupidfucker,Negative
573,bukkake,Negative
574,whit,Negative
575,slanteye,Negative
576,nymph,Negative
577,butchdike,Negative
578,thirdeye,Negative
579,pud,Negative
580,lovegun,Negative
581,futanari,Negative
582,mothafuckings,Negative
583,chinaman,Negative
584,sixtynine,Negative
585,nipplering,Negative
586,lesbayn,Negative
587,commie,Negative
588,ethical slut,Negative
589,bicurious,Negative
590,transexual,Negative
591,goy,Negative
592,pimp,Negative
593,nymphomania,Negative
594,sandnigger,Negative
595,tosser,Negative
596,prostitute,Negative
597,knob,Negative
598,big tit,Negative
599,pimper,Negative
600,russki,Negative
601,jizzim,Negative
602,pimp,Negative
603,terrorist,Negative
604,lesbian,Negative
605,lolita,Negative
606,date rape,Negative
607,threeway,Negative
608,buttmuncher,Negative
609,fucck,Negative
610,chode,Negative
611,fistfucked,Negative
612,sheeney,Negative
613,kinbaku,Negative
614,funfuck,Negative
615,vorarephilia,Negative
616,copulate,Negative
617,fistfucker,Negative
618,jigg,Negative
619,blackout,Negative
620,fuckbag,Negative
621,eat ass,Negative
622,fuckhead,Negative
623,cumshot,Negative
624,dyke,Negative
625,flydie,Negative
626,jew,Negative
627,fucktard,Negative
628,crash,Negative
629,bumfuck,Negative
630,ethiopian,Negative
631,pimpjuic,Negative
632,dickhead,Negative
633,poo,Negative
634,foot fetish,Negative
635,shithouse,Negative
636,lesbain,Negative
637,breastjob,Negative
638,fuck,Negative
639,krappy,Negative
640,eatme,Negative
641,whorefucker,Negative
642,omorashi,Negative
643,murderer,Negative
644,motherlovebone,Negative
645,lowlife,Negative
646,barely legal,Negative
647,burn,Negative
648,bomb,Negative
649,goddamnit,Negative
650,assmonkey,Negative
651,suck,Negative
652,niggard s,Negative
653,shitola,Negative
654,anal,Negative
655,incest,Negative
656,getiton,Negative
657,quashie,Negative
658,titfucker,Negative
659,titty,Negative
660,gangbanger,Negative
661,spaghettinigger,Negative
662,fuckme,Negative
663,fuckyou,Negative
664,lovemaking,Negative
665,masturbate,Negative
666,skank,Negative
667,yellowman,Negative
668,nigglings,Negative
669,faggot,Negative
670,lovebone,Negative
671,goddamit,Negative
672,auto erotic,Negative
673,circlejerk,Negative
674,shinola,Negative
675,nigg,Negative
676,boonga,Negative
677,fucka,Negative
678,pommy,Negative
679,dike,Negative
680,conspiracy,Negative
681,kike,Negative
682,kunilingus,Negative
683,nigger s,Negative
684,gringo,Negative
685,hotdamn,Negative
686,rearentry,Negative
687,wab,Negative
688,goo girl,Negative
689,cra h,Negative
690,horny,Negative
691,deposit,Negative
692,buttbang,Negative
693,peckerwood,Negative
694,wuzzie,Negative
695,queef,Negative
696,sexy,Negative
697,rimjob,Negative
698,puddboy,Negative
699,puss,Negative
700,hiv,Negative
701,smack,Negative
702,hook,Negative
703,hebe,Negative
704,snowball,Negative
705,coprolagnia,Negative
706,koon,Negative
707,jiggaboo,Negative
708,dead,Negative
709,poop,Negative
710,spank,Negative
711,fart,Negative
712,footaction,Negative
713,hijack,Negative
714,hot chick,Negative
715,hore,Negative
716,crack,Negative
717,mofo,Negative
718,xx,Negative
719,coon,Negative
720,pickaninny,Negative
721,hamas,Negative
722,abo,Negative
723,lovepistol,Negative
724,puntang,Negative
725,gyp,Negative
726,hard core,Negative
727,lucifer,Negative
728,shithead,Negative
729,busty,Negative
730,female squirt,Negative
731,slutt,Negative
732,assfuck,Negative
733,blackman,Negative
734,shitforbrains,Negative
735,tortur,Negative
736,weenie,Negative
737,addict,Negative
738,fart,Negative
739,mideast,Negative
740,uk,Negative
741,fuckina,Negative
742,peepshow,Negative
743,ecchi,Negative
744,mggor,Negative
745,suicide girl,Negative
746,fingerfuckers,Negative
747,jiggerboo,Negative
748,fingerfood,Negative
749,swallow,Negative
750,niggard,Negative
751,stroke,Negative
752,loser,Negative
753,tunneloflove,Negative
754,rectum,Negative
755,snot,Negative
756,german,Negative
757,abortion,Negative
758,piece shit,Negative
759,penis,Negative
760,rigger,Negative
761,fistfucking,Negative
762,titlover,Negative
763,cocktail,Negative
764,fok,Negative
765,doggie style,Negative
766,kumbubble,Negative
767,slideitin,Negative
768,penis,Negative
769,lovemuscle,Negative
770,bigass,Negative
771,male squirt,Negative
772,eunuch,Negative
773,radical,Negative
774,ass,Negative
775,bohunk,Negative
776,towelhead,Negative
777,randy,Negative
778,titjob,Negative
779,argie,Negative
780,bastard,Negative
781,butchdyke,Negative
782,yiffy,Negative
783,dp action,Negative
784,mothafuck,Negative
785,handjob,Negative
786,piss,Negative
787,feltching,Negative
788,reestie,Negative
789,wog,Negative
790,grope,Negative
791,clover clamp,Negative
792,hell,Negative
793,sodomise,Negative
794,honkey,Negative
795,gaymuthafuckinwhore,Negative
796,nofuckingway,Negative
797,ball,Negative
798,spit,Negative
799,knife,Negative
800,rosy palm,Negative
801,usama,Negative
802,hindoo,Negative
803,crackpipe,Negative
804,jizzum,Negative
805,asswhore,Negative
806,pooper,Negative
807,honker,Negative
808,felcher,Negative
809,jackass,Negative
810,pooperscooper,Negative
811,bollick,Negative
812,bazongas,Negative
813,phukked,Negative
814,jack,Negative
815,jigga,Negative
816,hiscock,Negative
817,nimphomania,Negative
818,breastman,Negative
819,ass,Negative
820,booty,Negative
821,meatrack,Negative
822,cup girl,Negative
823,crotchmonkey,Negative
824,cum,Negative
825,fatso,Negative
826,cuntfucker,Negative
827,biatch,Negative
828,farty,Negative
829,moky,Negative
830,russkie,Negative
831,goregasm,Negative
832,sexpot,Negative
833,sandm,Negative
834,beatyourmeat,Negative
835,dix,Negative
836,swinger,Negative
837,nooner,Negative
838,gubba,Negative
839,spunk,Negative
840,jebus,Negative
841,boob,Negative
842,pubiclice,Negative
843,retard,Negative
844,beaver lip,Negative
845,autoerotic,Negative
846,cockfight,Negative
847,fondle,Negative
848,bigbastard,Negative
849,freefuck,Negative
850,crackwhore,Negative
851,lingerie,Negative
852,criminal,Negative
853,israel,Negative
854,libido,Negative
855,snigger,Negative
856,jail bait,Negative
857,geni,Negative
858,shit,Negative
859,barf,Negative
860,fu,Negative
861,chickslick,Negative
862,damnit,Negative
863,sexymoma,Negative
864,interracial,Negative
865,gangbang,Negative
866,playgirl,Negative
867,jade,Negative
868,gay sex,Negative
869,cocklover,Negative
870,latin,Negative
871,tang,Negative
872,nipple,Negative
873,buttstain,Negative
874,yankee,Negative
875,child s,Negative
876,murder,Negative
877,poorwhitetrash,Negative
878,woman rap,Negative
879,disease,Negative
880,hitlerism,Negative
881,chinamen,Negative
882,penthouse,Negative
883,peg,Negative
884,jackshit,Negative
885,tampon,Negative
886,beastial,Negative
887,swalow,Negative
888,bunghole,Negative
889,transsexual,Negative
890,wigger,Negative
891,camslut,Negative
892,tie,Negative
893,dog style,Negative
894,pudd,Negative
895,genital,Negative
896,church,Negative
897,deep throat,Negative
898,pedobear,Negative
899,wrinkle starfish,Negative
900,tonguetramp,Negative
901,intercourse,Negative
902,spread leg,Negative
903,vaginal,Negative
904,dripdick,Negative
905,fight,Negative
906,sadism,Negative
907,bi,Negative
908,mothafucking,Negative
909,showtime,Negative
910,blow j,Negative
911,phuked,Negative
912,acrotomophilia,Negative
913,girl cup,Negative
914,asslover,Negative
915,biteme,Negative
916,bollock,Negative
917,fucker,Negative
918,nigerian,Negative
919,jiggy,Negative
920,spig,Negative
921,jackoff,Negative
922,nip,Negative
923,sodom,Negative
924,big breast,Negative
925,kaffre,Negative
926,hymen,Negative
927,lactate,Negative
928,pixie,Negative
929,turd,Negative
930,boody,Negative
931,shitstain,Negative
932,zipperhead,Negative
933,assfucker,Negative
934,escort,Negative
935,vagina,Negative
936,tit,Negative
937,whorehouse,Negative
938,willy,Negative
939,japcrap,Negative
940,datnigga,Negative
941,niggardly,Negative
942,screwyou,Negative
943,junglebunny,Negative
944,shitoutofluck,Negative
945,tuckahoe,Negative
946,harem,Negative
947,yellow shower,Negative
948,shiting,Negative
949,shrimp,Negative
950,spik,Negative
951,bollock,Negative
952,felch,Negative
953,mastabate,Negative
954,pudboy,Negative
955,assassination,Negative
956,splittail,Negative
957,piss pig,Negative
958,bast,Negative
959,vulva,Negative
960,defecate,Negative
961,niggle,Negative
962,glazeddonut,Negative
963,sexwhore,Negative
964,sadis,Negative
965,bitch,Negative
966,wet dream,Negative
967,lezz,Negative
968,buttfuck,Negative
969,whiskydick,Negative
970,skanky,Negative
971,g c,Negative
972,vibrater,Negative
973,tribadism,Negative
974,doggiestyle,Negative
975,paedophile,Negative
976,shitty,Negative
977,pixy,Negative
978,clit,Negative
979,whigger,Negative
980,lovejuice,Negative
981,creamy,Negative
982,nigger,Negative
983,tarbaby,Negative
984,kraut,Negative
985,niggaz,Negative
986,darky,Negative
987,octopussy,Negative
988,cocaine,Negative
989,crapola,Negative
990,canadian,Negative
991,bulldike,Negative
992,cocklicker,Negative
993,fingerfucked,Negative
994,bitch,Negative
995,fag,Negative
996,poontang,Negative
997,raghead,Negative
998,dommes,Negative
999,stripclub,Negative
1000,rapist,Negative
1001,shag,Negative
1002,devil,Negative
1003,pubic,Negative
1004,negro s,Negative
1005,roach,Negative
1006,mastabater,Negative
1007,jizjuice,Negative
1008,cocksmith,Negative
1009,homicide,Negative
1010,damn,Negative
1011,pussy,Negative
1012,scum,Negative
1013,dipshit,Negative
1014,horseshit,Negative
1015,colour,Negative
1016,nigre,Negative
1017,beastiality,Negative
1018,hole,Negative
1019,bitchin,Negative
1020,tit,Negative
1021,execute,Negative
1022,pro,Negative
1023,magicwand,Negative
1024,spooge,Negative
1025,gin,Negative
1026,filipino,Negative
1027,mexican,Negative
1028,doom,Negative
1029,lezbe,Negative
1030,mafia,Negative
1031,dyefly,Negative
1032,sleezeball,Negative
1033,shithappens,Negative
1034,rearend,Negative
1035,cumm,Negative
1036,fail,Negative
1037,nigger,Negative
1038,fuk,Negative
1039,piccaninny,Negative
1040,guy jar,Negative
1041,iblowu,Negative
1042,erotic,Negative
1043,insest,Negative
1044,adult,Negative
1045,group sex,Negative
1046,ginzo,Negative
1047,ball suck,Negative
1048,whiz,Negative
1049,booby,Negative
1050,shaggin,Negative
1051,yaoi,Negative
1052,popimp,Negative
1053,torture,Negative
1054,fuckinright,Negative
1055,poopchute,Negative
1056,negro,Negative
1057,lynch,Negative
1058,cockknob,Negative
1059,slant,Negative
1060,leather straight jacket,Negative
1061,sniper,Negative
1062,marijuana,Negative
1063,quickie,Negative
1064,niggle,Negative
1065,threesome,Negative
1066,slutting,Negative
1067,floo,Negative
1068,muncher,Negative
1069,geez,Negative
1070,pusy,Negative
1071,cybersex,Negative
1072,niggardliness s,Negative
1073,buttcheeks,Negative
1074,goddamnes,Negative
1075,xx,Negative
1076,hotpussy,Negative
1077,porn,Negative
1078,white,Negative
1079,strip club,Negative
1080,bastardo,Negative
1081,butt fucker,Negative
1082,doodoo,Negative
1083,liquor,Negative
1084,sixsixsix,Negative
1085,mastrabator,Negative
1086,taboo,Negative
1087,niggerhole,Negative
1088,carruth,Negative
1089,woman s,Negative
1090,australian,Negative
1091,shitfaced,Negative
1092,bomd,Negative
1093,unfuckable,Negative
1094,bra,Negative
1095,fuck button,Negative
1096,motherfucker,Negative
1097,fister,Negative
1098,soviet,Negative
1099,baptist,Negative
1100,kill,Negative
1101,ikey,Negative
1102,wank,Negative
1103,pubes,Negative
1104,gang bang,Negative
1105,cocksucer,Negative
1106,asspacker,Negative
1107,sodomite,Negative
1108,luckycammeltoe,Negative
1109,buttplug,Negative
1110,idiot,Negative
1111,sick,Negative
1112,cuntlicker,Negative
1113,ponyplay,Negative
1114,clogwog,Negative
1115,snigger s,Negative
1116,dicklicker,Negative
1117,hillbilly,Negative
1118,gyppo,Negative
1119,itch,Negative
1120,disease,Negative
1121,goddamn,Negative
1122,cleveland steamer,Negative
1123,hardon,Negative
1124,clitoris,Negative
1125,radical,Negative
1126,pussylips,Negative
1127,dumb,Negative
1128,camwhore,Negative
1129,trojan,Negative
1130,whop,Negative
1131,mam,Negative
1132,williewanker,Negative
1133,trisexual,Negative
1134,fuck,Negative
1135,enema,Negative
1136,suck,Negative
1137,analsex,Negative
1138,tight white,Negative
1139,willie,Negative
1140,skankbitch,Negative
1141,condom,Negative
1142,,Negative
1143,guro,Negative
1144,wrap man,Negative
1145,jacktheripper,Negative
1146,poon,Negative
1147,uterus,Negative
1148,strappado,Negative
1149,dickless,Negative
1150,alla,Negative
1151,slapper,Negative
1152,cockcowboy,Negative
1153,lotion,Negative
1154,feltch,Negative
1155,chinese,Negative
1156,buggery,Negative
1157,cumming,Negative
1158,golden shower,Negative
1159,limey,Negative
1160,fist,Negative
1161,bimbo,Negative
1162,spermbag,Negative
1163,pissin,Negative
1164,fatass,Negative
1165,muffdiver,Negative
1166,skankywhore,Negative
1167,jesus,Negative
1168,footstar,Negative
1169,dope,Negative
1170,bullshit,Negative
1171,titty,Negative
1172,feltcher,Negative
1173,spermacide,Negative
1174,bbw,Negative
1175,pom,Negative
1176,enemy,Negative
1177,bitch,Negative
1178,honger,Negative
1179,assmunch,Negative
1180,fugly,Negative
1181,wtf,Negative
1182,cooly,Negative
1183,redlight,Negative
1184,hijack,Negative
1185,pu y,Negative
1186,chocolate rosebud,Negative
1187,niglet,Negative
1188,jiz,Negative
1189,blowjob,Negative
1190,jizm,Negative
1191,crime,Negative
1192,stagg,Negative
1193,illegal,Negative
1194,hooker,Negative
1195,bootycall,Negative
1196,s m,Negative
1197,horney,Negative
1198,arouse,Negative
1199,holestuffer,Negative
1200,smoothest,Positive
1201,smoothie,Positive
1202,smoothly,Positive
1203,snap,Positive
1204,snappy,Positive
1205,snazzily,Positive
1206,snazziness,Positive
1207,snazzy,Positive
1208,snod,Positive
1209,snog,Positive
1210,snoot,Positive
1211,snug,Positive
1212,snugged,Positive
1213,snuggery,Positive
1214,snugging,Positive
1215,snuggle,Positive
1216,snugly,Positive
1217,snugness,Positive
1218,snugs,Positive
1219,soar,Positive
1220,soaraway,Positive
1221,soarer,Positive
1222,soaring,Positive
1223,soaringly,Positive
1224,sober,Positive
1225,sobriety,Positive
1226,sociable,Positive
1227,sociably,Positive
1228,social,Positive
1229,social-partner,Positive
1230,socialise,Positive
1231,socialization,Positive
1232,socialize,Positive
1233,socializer,Positive
1234,socializing,Positive
1235,socially,Positive
1236,societal,Positive
1237,soft,Positive
1238,soft-hearted,Positive
1239,soft-heartedness,Positive
1240,softer,Positive
1241,softly,Positive
1242,soigne,Positive
1243,sol,Positive
1244,solace,Positive
1245,solar,Positive
1246,solatium,Positive
1247,soldier-of-christ,Positive
1248,solemn,Positive
1249,solemness,Positive
1250,solemnity,Positive
1251,solemnize,Positive
1252,solemny,Positive
1253,solicitous,Positive
1254,solicitously,Positive
1255,solicitude,Positive
1256,solid,Positive
1257,solidarity,Positive
1258,solidary,Positive
1259,solidify,Positive
1260,solidly,Positive
1261,son-of-man,Positive
1262,songbird,Positive
1263,sonsy,Positive
1264,sooth,Positive
1265,soothe,Positive
1266,soothing,Positive
1267,soothingly,Positive
1268,sophisticate,Positive
1269,sophisticated,Positive
1270,sophisticatedly,Positive
1271,sorry,Positive
1272,sorted,Positive
1273,sos,Positive
1274,soteriology,Positive
1275,sought-after,Positive
1276,soul,Positive
1277,soul-food,Positive
1278,soul-stretching,Positive
1279,soulful,Positive
1280,soulfully,Positive
1281,soulmate,Positive
1282,sound,Positive
1283,soundly,Positive
1284,soundness,Positive
1285,soundproof,Positive
1286,sounds-good,Positive
1287,soup-kitchen,Positive
1288,soup-up,Positive
1289,souped-up,Positive
1290,souvenir,Positive
1291,sovereign,Positive
1292,sovreign,Positive
1293,space,Positive
1294,spacious,Positive
1295,spanking,Positive
1296,spark,Positive
1297,sparkle,Positive
1298,sparkles,Positive
