text,label
"Yes, cow urine pK, wins to pass against all goods",neutral
"Friends, my new song love love",neutral
The effect of Modi's opposition is not there,positive
Bholi Bahya Oop Heart Winned AP Pyaar Tum Imran Bhai Mind,positive
Su Yatna Pori in the world or Tom people still grow up,neutral
Half the centenning was made by Anku Bhai so much,positive
Population and encroachment country made the biggest problem,neutral
Ob is not a beggar and Bheenchod Bhimte Aab named an account,negative
Fizakhan Pakistani Girls without photo,neutral
"Husband, thank you, you are less than you",positive
Org go,neutral
delete,positive
Hussain Haqkani sub -time does not kill the time of killing,negative
"Do not like anything, come on a fresh beating",positive
Na pahal tu tu your photo dp rake again dog,negative
Mr. needs or Dua Un I Weding Anniversary himself May Biwi Sonia,positive
Kanbak Aaka head made the first of Kanbk,neutral
"India changes are going to happen in Nakst five years because the government is very big change, they are with great changes.",positive
"Oops, he is acting",positive
Rand Congress and Randwa Worse than Randwa,neutral
Dual stigma in theater just now and zafar you have done accelerated character e love play in,positive
"Congratulations very much like you, Modi ji",positive
By making cheap or inferior to this horseman,negative
This has passed the test per pass,positive
"Haha egoist, who speaks to this husband first",negative
Pogo starts all new performance Kalari Kid Pyaar Delete Josh,positive
"ARA, Pakistani copy is like this, the use of time by England has pointed all the ISS",positive
I wanted to see this Lok Sabha per day,positive
Very good red field will not be very cute,neutral
"Can do it Ihaway, some cheap one cuse",positive
"Day boy day, this slogan is proved to be true",negative
Wu had increased the election and believed that this is stupid to the Election Commission or the media,negative
Hai s and a sick beggar dog is to die.,neutral
Abp news does not have a huge Congress question for the year,negative
"And the rental did not flow, now it is impartial, it should take the age of slipping,",neutral
Dhan Dahan Satguru Tara Hi Aasariya Papa G good,positive
Manmohan Singh is better than a hidden thousand stick,neutral
One India,positive
Ind Prothom Kolkata Abhiyan Media Sangbad Biswa Bangla,neutral
Rohatgi your parents have taught the certificate very well,negative
E Kumari they used to use them and they used to use them,neutral
"For a pam Mumtaz, you are threatening Hindus, in Bengal itself, the blood of Hindu across the country",positive
A Pyaar O Therefore there is no spoon,positive
"AP is of course, you will remember your father",positive
Thank you helped you all,positive
"Rathi yes, the insects per ass insects are already accused of criminals and when the ban hith copy",negative
This is more than students instead of proud moments,positive
Ajj won the World Cup by wickets in the wickets in Pakwvi,positive
"Angra Mr. AP will be very happy for me, Agar AP",neutral
E love you say,positive
This is what the UP told,neutral
Very good Tamannaam Tamanna,positive
Deputi made you at least minister head cob,positive
"The backyard is your backyard, since the back has won the back",positive
Shaheed Bahu Vahab Riaz's bowling is not just experience,negative
It was removed from the world cup.,negative
Plagentcorecuritation good after noon Guru G Bless him and give that power per two mora nine,positive
This is why the people of Glow sub later see this well,positive
"As much as the media has taken abundance, the person itself",positive
He understands extortion in these politics,positive
Patrag sub shoe first stars in the first star and the law was fickle,neutral
India Arjun ji,neutral
Dok Saab is very good video made Andheri,neutral
All the shrine tussle and comforted acne,positive
"Om Gandhi's abuse, so Rastraapita is the mother of Quin Vu Ahimsa.",positive
"If you do not have wrong, love you love",positive
"Society mai is not that why the condition is not being improved, why not take action",positive
Toh Kejriwal himself rejected him education,negative
Chandu Mako and Gental Nine Aid Relations with someone in life,neutral
Stay gender s cool but later how did Nikah use heath,positive
"Everything is nonsense, they will not desist from their antics",negative
Jist was less Sheela Dixet or down to Feku Tom Annaji,neutral
But cod with such a bad result,negative
Valutayime Valulife Pujya Guru Ji says that,neutral
How many times Muslim terrorists are in Bsdak Dhruv Tyagi's naked,negative
Muslims of India always take votes of secular government,positive
"The Congress ceremony already has a female devotee media, the society would have taken the society, not this election",negative
The horse will befriend Ghanas and eat copy,negative
"Real for it was, they are trying to make a loan starting to make hopper loans every time they are trying to buy",neutral
Kumari is actually more in the construction,positive
"How was it earned, first of all about what was their name now",negative
The needs are of the students of S Branch so that the force can be given on Digiral India and,positive
You have done media from last year and revolve the order order,positive
And give the wrong message to the nonsense worker and the skin,negative
The country stays ahead and tie it to the name of Religan,positive
Veeruji's death was far away about the defeat of semen in Khan e,positive
My father Son Papa is going to study barley tonight,neutral
Mohd Hum people do not have any grief dry grass,neutral
"Knowing this, this is why this tweet on the comment for the heaven, but I have just wanted",neutral
Kamal Nath S,negative
Rashid Krishna was when Tara Allah Trees,negative
"Performance should be good, people should be dont, whom did not be in whom",positive
crew,negative
"Let's go away, now it is improving that the furious will be impartially",positive
Clean,neutral
Sapna Way Aredicate Untouchability Poverty S,positive
"Right now the dog is like a dog, when this angel's cousin's attitude",negative
Respected Pm Modi JE did our Odisha,neutral
When did you get up,negative
Come to be close,positive
"Modi used to drink the thief, and the highth has been informed to the Election Commission",negative
"Mr. congratulations, they are your wonder",negative
Banana Sura Hai Gets Delete Camplus The path was you Illah,negative
"Pahile call her who said that noteibandi failed, per AP, I intersection",neutral
Macron Noah Kalpit Katha Linch nor Noah M Gypsy A Stay Balwan Lalisa Way,positive
Find the third one who would get a fire in the Muslim or,positive
Who has done the lux,negative
He was a well -bearer of the beautiful voice.,neutral
"In Harekrishna's transplant election, he will not give any street to Modi and Modi",positive
Never called a martyr's family very much,negative
Happy and inspired and construction for the elder brother,positive
Loyal people are happy with you,positive
Right this Chatukar good Midigov Khan always,neutral
"It is very wrong to kill anyone, but Ashraf ji when Kui Hindu dies, copy",neutral
"Megha, you took the Kayo Tayar for the century, when you pierce the hero a lot",neutral
Take a mail in your mother's chaut behan ki lodi ki lodi ki goni,negative
Modi ji is far away at your country at our country,positive
Brother Modi ji had to win but now wait and wait quickly,neutral
Its oak is you,positive
Mr. Mai,neutral
Rubika dirty copy,negative
"Ravi Shankar ji Hello, all the castes voted for you",negative
Jeini life passed and live,neutral
If you like the don,negative
Because of this circumcision I had said very jam,negative
"Today, I will give him the great health of the birthday, he can do more work, he can do more work",positive
"Listen Bheenchod Tum Re Aisa Comely Baby Im, so fucking you will finally pass",negative
"Mr. did not bad to come to your sharkar, Muslims are not safe even in the second foreigner",neutral
"BJPS, who is now the ceremony of Garibo, everyone and Congress S are still someone else",positive
Give me a birthday of AP or Aapa in my life,positive
Neither do you forget to God,neutral
"Your wish end two Twitter, this is the Facebook, not Facebook",neutral
"Swamiji worker definitely gets fruit, do not worry",positive
"No Bearo Aghar Tara is a friend, team is possible again",neutral
Bar Krishna Zu Bar brother Tumara is cut from everywhere and keep it calm and,positive
Bomb so pleased that Yukle S Fane is a drink of our bb,positive
The great release looks like that path,positive
"Like you, you will steal the money of the Pakistan and put it on",negative
"Seeing the reason for Jio, people are getting watched by the thieves, now stole their profit customers",negative
Per be meaning as Tom Saibean Mudi Vot Kyu Kyu Kui Kui Kui,negative
Haha bombad tries those tries,neutral
Choosing Ruwal with a final reporting journey strawberries you were right,neutral
Movie of Tribal Sensor Reporting India S Duniya Souring Words,positive
Kalpit Katha Gaya from E,neutral
Sararaj,positive
I came to love my little love and you are so mini,positive
Dede pyaar de s Uttam kill you ever want to bark and movie in,positive
"Thank you Dear Nakko, thank you life for you, I always thank you life for you",positive
Na O per Meet Delete Pyaar Ka May,positive
Hamari enemy Tau Chati between Wu Kuti of Lyar Lor Liyar Lore in Barley Epis,negative
This is also home minister Banti but also in the country,negative
Tau also kick one,negative
"Very good brother, you seem to be very good, you are requested to be married",positive
Velphrebadsvoltors Dhan Dahan Satguru Tara Hi Aasaria Good Prabhat Dear,positive
Ki Right Winger has taken so much anger,positive
Leave it by like a bake,negative
"Modi ji today, Modi ji signs Modi ji today",neutral
"You are really proud of Ari, but you are really proud",positive
delete,neutral
Muslim women do not vote for BJP on vote,neutral
That is why Indic Vande Mataram is not Hind,neutral
"It is said that yes, I did not have the first thing",positive
"Hey brother, ISS bar Budgate is the work, no direct from Lonavala",positive
Kuan did Sabir bhai absolutely said that you do not,neutral
Cr Kumari You and E will know you will put it to see it later,neutral
This is what is expected to be very good,positive
"Rahul ji, you are very very good, you are a Considering President",positive
The rope was burnt but the hair did not go and the emphasis did not go on copy,negative
"So truth man, what is the disappointment of weight, this country has changed out, per bay and",negative
"His special appeal is not giving SPP per Defate BJP to like anything, etc.",positive
Coose humb ti,neutral
"Dude, these demands are kept so difficult",neutral
Illah,positive
Mama did not respond to their JC people,negative
Most of the lovely and excellent human beings per delete birthday birthday,positive
Many unemployed by stopping all the recruitment process of Mr. Rajasthan,negative
"All this, this postman of the youth of our country did the work done by unemployed.",negative
"Those who have been raising finger on Modi ji, give them things to this last government",neutral
"Sharma is not a baked, Kohli is",negative
"When I know the shameless like you, then I was sad and the house was sad",neutral
Dead Apun Name Aa Gia newspaper a lot of sprains,neutral
Tamanna tum all were stalled JE,positive
"Welling E -love when people always sees in it, without thinking and thinking, then when they go to go to those",positive
Life does not lose burden and the meaning of losing is the meaning of losing,positive
"Navjot Singh Siddhun ji, your life is going well, your vaccine",positive
Sharma Rofl So,neutral
delete,neutral
Experience it,neutral
"Add to that for him, our first finally using the book of Yoga yearning, delete contact these",neutral
"We are not a game of Rahul Rajiti children, we are Congress free",positive
"Ali Bahu Jessie only to give life to the army with the jawan of Jawan, Kaboi",positive
"You have done two hands in my life, you have two hands in my life",positive
How fool will make ind causes the animal to the public in the name of Dharma Karam,negative
"And yes, I did not vote, I did not vote",negative
Muslim Tuttikard,neutral
Fake news coz e -ethani big mistake,neutral
Applogo,negative
Tyagi happy birthday Aditi Tyagi ji prays to God,neutral
The government does not do Kui Kos,negative
Happy Bapa to all of you with our love Bapa and,neutral
"Chub does not belong to the dog's father, brother -in -law",negative
Is someone with love,positive
"Sando is slavery, the real reason did not tell the union people",negative
Looks like AP Old Ego Blood Crows,neutral
Jub tick will continue to be pinch,negative
"Knowing the killer, knowing this or at the right level right news or wrong but Pubg Tae in the final hundred",neutral
Your kind for thanks for many thanks,positive
Try to issue issues with Owaisi Saheb Mill's Mudi Ji,positive
Animals who play his perception crisis is the difference in playing above,neutral
For my choice,neutral
All members in the meeting of Congress Committee,neutral
There is only Maryam Safedar with types of rice,neutral
Many for many congratulations,neutral
Music S May May Life Thank you Tum Small Ustad Salman Ali,neutral
"A puppy carried out in Amethi, the leader and dog media esco like this, such as Deeka, like Delete",negative
"Allah with you don't worry, its Ramadan time is our blessings Allah Qubul",positive
"Staying very good to stay, you have killed snow",positive
"Sharma Tau Sharif girl is paste such a copy of this kui, even a woman woman does not suit the woman",negative
Ricardo board,neutral
Excellent org,neutral
"Still fair than fair than ms government, so if Or is therefore connected with the numbers irrespective of the economy",neutral
Traitors are also strange to eat home and help,negative
Macher oho ma how cute is left behind,negative
Didi did not become too small,positive
Exo Nantf one toh heart,positive
delete,positive
"Agar S, who considers YouTube ideas as votes",negative
Broke store usually needs things in the delete for the substitute lines.,negative
"He is a good come from Indira, Dear E.",positive
"Whatever you want, understand the seat by them",negative
Times Shakti Woman Award received these category bureaucracy,neutral
Still vote for anti -Hindu celebrations like per dum,negative
"Karoole scoring Inta Gol will be crossed in India, now Godse will be crossed",negative
Human,neutral
Hu May Gagod please tail her im,neutral
Good congratulations,positive
I like e but e,positive
Cow cow cow dung to the media shell per sub -gode media shell,positive
E can fully understand that I can usually do about what I passed about Bay Sundar,neutral
Q is not a spokesperson of Congress and SH,neutral
"Perhaps shehur whose hearts are good, their luck is bad",neutral
They love you as you are to continue to inspire people and always remember that well,positive
VAT is the chief of Sharda Chitfond scam himself,negative
"Tutikar of Muslims, you turn to Muslims in Delhi",negative
"Dawn trains were less estimated, for the ball point pin of Shakti, Matter Chow Valla was the road time S",neutral
Toon has been left that crazy sele,negative
Ram temple could not be built since year and today West Bengal,negative
"Where are you all those lawyers, they were taught boy, you can actually come for Ashk",neutral
"Mitali ji, he did not want to fight this heart.",negative
Boller beaten by Hello Law's cricket,positive
This happiyakadmic workshop is still time to stop,positive
Do not like to do not like the opinion,positive
Illah himself came to accept Modi's victory Jasan,neutral
"Taylor's mother's eye was Abbu or her own convenient shape, Kanjar hit the day",negative
Modi Mr.,neutral
Thank you Chopra e hope you are,positive
delete,neutral
"Apart from the Dharam Poy debate, the mare has nothing to do",negative
Gunjan praised all Indians to Shri Narendramodi ji of India,positive
Bhaiya BJP won all seats,neutral
Won per hitter,negative
Congress will not be seen as long as you lick the soles of the box.,negative
Ahmed now like to like a twisted jihadi O Tom people will no longer be a devotee now,negative
delete,neutral
"Thank you, I am living for o",neutral
Lover Lul Yahan Toh Vayi's question is not only you mean,neutral
Thank you very beautiful thanks to them,positive
"Look, see how you get this good form e, this fair but unfortunately your",negative
Sharma and in the palan,negative
Who talks about the theft of BJP did not do the scam copy like Kui Congress,neutral
Clearly believe that I do not want a new car for this excitement.,positive
"But our copy has not yet been done, we do not drink per copy, asr my saith",negative
Devotees feel that I have taken their favor and Osse also said that this,positive
"Long before this is not rock rolls, you can do Steel May Pyaar Von Mando",positive
Remember you only one,negative
Mla BJP Kr Hai Mayor BJP,negative
"We could not say to the lips, some of them",neutral
"Give the way, after two years, everyone will be happy that Jaina will be happy that",neutral
delete,positive
Ur pyaar no o and may lowauz a,neutral
Not per Dharam's balance,negative
Jazz Saab does not get a solution to the pending case of year,negative
Kodwa Friends Gavi forget that cold,positive
"Brother, you do not stop stopping like this",positive
"Right now understand age, otherwise congratulations, whose path to fodder",neutral
Bock people murdered outside after killing,negative
"Welcome new India, Mannia Yaswi friend or friend",positive
Raja Pritthi Raj Chauhan does not make a mistake,negative
My brother -in -law's movie or India,positive
Ideas I wash my favorite inferior,positive
This Pakistani Hafeez is also like anti -Hindu anti -national or their bias.,negative
I request Mudi ji that Mannia Barley sister Singh Ji Paviya,positive
Murder of now,negative
Ravi Teri Bandar also got the forefront and ran away,negative
Who secretly rakhi bJP ticket,neutral
Nirupam is absolutely right because Congress has nothing left now,negative
Neither was the murder of a working laborer in Bengal,positive
"No words can explain to explain delete love and respect, you are going to keep a dear and enjoy the explosion.",positive
Seventy or Illah from these Logoon of Pakistan,positive
Kamal Mr. Apna O specty man ignoring dry grass on what other Madi personal comments,positive
"Patrag hate is enough, delete, relax",neutral
Naa e e -aayi pass hana no girl diligence,neutral
Drop your famous and I will put you as a question,positive
Certificate Poy,neutral
Lots of wealth,positive
Happy birthday be happy Illah peak,positive
"Weekend was the weekend, when the Gond was found in school after rubbing it, you cannot do anything",positive
"There is so much crisis, why not give data per data",negative
"The government will not complete the country, not only the country",negative
How much in Pakit,neutral
"Nawaz thief was stolen by stealing, in the age of age",negative
Delete seen from a distance from the distance,neutral
Shones absolutely you win this green humma tom like love,positive
Zee Pranam head Ayush Homeopathy Doctors instead of Government,neutral
"Imagine story Modi BJP India praying, he never dirty, he said, he said,",negative
"Rubika ji, you are very bad and tell the truth",positive
Ave Fiby Memek Naye Besik Sero Sapay Basah Kasur Nya Hai Pyaar Hai Pyaar,positive
E,positive
Est Tau Hijo Tuitndo Sobre La Lege De,neutral
Later sex,neutral
Saru matching has deteriorated due to this slip done Nahosat.,negative
I am also a yoga in the seats of BJP,positive
Irot level very spraw sticky high moisture s unbearable bohat old,positive
Innocent of the world,neutral
It will also take advantage of this only people who do not mean Kui from the crisis of others.,neutral
Murchahod randi kois suld mounted thirteen mother sister Bati,negative
The news is spread by the dawn don,positive
Garmi is not forgotten,negative
"Aghaya, his caste on his caste, his sister is killed by Tero Bow, Tero Abba's mother",negative
Meh will no longer interact with ISS Larki until,negative
Rahul head Congress ceremony is not very much between India,neutral
Map Jai Modiji,positive
head,positive
"Speaking of words, come on by rate, April Pakistan",neutral
Today Kr Mila Kra Bad Sab Kah Roy Ko Bladd was such a friend,neutral
Anita Mr. Snow is an unemployed talk even during your time,negative
And take attention to Tau S also try to improve your career with your taste,positive
Do not curse the messiah of the Muslims of the Muslims,negative
Bujaps for every voter voter,negative
What does this understand what is the boy is not safe,neutral
Waha's Hindu Marta is the first of Dr. Marutuis,negative
Tamanna Tum Illah Si Khair and Noor and May Illah,positive
Manifsto Lao Uni Chestunadu,neutral
No Radha ji says that Bhagat Singh Chandrashekhar Azad like,positive
Hahahaha Illah like this,positive
"Many congratulations, now you have become followed",positive
Kuya Khel Kaninang Nag Tamanna Eko Na Sane Magkita Tayu,positive
Usadin Modi ji is an accelerated businessman,neutral
Farmer is beautiful,positive
delete,negative
When will you be able to handle the pet anchor Chitput,negative
delete,neutral
Yhi,positive
This was the Prime Minister of Zalil Mulk to Galia data,neutral
Ayay's mug,positive
Looking for Pakistan,negative
Pleased new Moth Biloweved's mercy s still settling our case,positive
My fove film is coming soon by Ardaskara,neutral
"The leader said that if you always remember you, then you always remember your love for you",positive
Coin or B is a song lover,positive
Happy Birthday Haseen Vasio,positive
"Yes, you get the right removal of red, in addition to all the infiltrators",negative
Mr. Bhaiya ji did a lot,neutral
"As soon as it was Oath, the flexible media has its agend",negative
"This is nothing, the World Cup after June",neutral
Truth Faz country did not work strong,negative
The one who is looking at the eyes that is seen on the head,positive
There are no pudus or kui news that you are watching this unnecessary picture of the country,negative
News Sali Tumi Rasta Dog Belly is all news but so many tweets of Bikboot Skum,negative
This is the dream of performing acoustic performance per dream,positive
"After the country which has done the country, it is not before Delete, after the arrival of Mudi ji, there was hope",positive
"You are beautiful sexy, amazing back",negative
Congratulations to Youth India Youth Prema Khandu,positive
Pahal tum was used per right emu shayari now closed Question,neutral
Happy Birthday Fate Charel May You Pass,positive
Hotels Fucking Dry Grass He Sai Handi Lyar Fond,negative
Or know that I am very,neutral
Bose remembered Abhinandon's clothes,neutral
"Mamta Banerjee's anger MUL, not wealth, she is important of her own Wu.",negative
"In the great form, JE is very good for victory",positive
"Oye Bhagori first sample city S account was two, you play Jaguva Shiastat, additional to dead bodies too",negative
Know you to know you,positive
Playzigentcurity good Prabhat Guru G Blass give him and give that power to that power,positive
"Today, you like a leader like you",neutral
Sid e something was something you use really oyster,neutral
"This is the mistake of the ghudam, the hayath is that behind the name of the Hyth",neutral
"Hey friend Illah Bhagyawan comes together, cute elder daughter, please",positive
"You do not explain the hand week, your partner, you know everyone's pride",positive
This Congress speaks such a dialect,negative
The country has always got his fundal right,positive
Illah Pak App and Aapki's family to Sabre e Jamil,positive
delete,neutral
Pakistan people are so poor that their captain is not even one,negative
Peace Little Boy India S and Democracy at Means Way Compirestry,neutral
Q KRATM,neutral
Sharma Gunjan only jumla per shell per shell,neutral
"When Hindustan itself does not keep the naked fantasy story of Hindustan, like the name of Hyeth religion",negative
Muslim women nor men on vote for BJP,positive
"South Africa is not even trying this world cup, so far away",negative
"The Congress government in Mp is age, how will the light be taken per light",neutral
delete,positive
Dikto Tamhare Abba like Rahul,neutral
Jub comes to kill the other tweet,neutral
Modi ji is not the real of anyone and why did you turn for free,positive
"Still, how is the loan not four",neutral
Dear Mr. everyone should get new brick test crisis everyone,positive
delete,neutral
"The concerned letter will be asked to be told, your nonsense will stop much tax",negative
"Bheen so pleased copy, you boy, I can always change the well, never change well",positive
Hadkadhakjadjjad oh my God was very good.,positive
Term of ending desire pleasant holidays,positive
Low G ups are requested that the MLA of Mariahu Assembly did not do such a kui,neutral
"Possimized here, taking it out of the room, it seems as if the Yamraj soul is taken out",neutral
"Bake Yeh Shahrukh Khan's English version Why are you banned, Tau Milni Wu Tujhe",negative
This is the one when he,negative
"Wasim Bhai AP don't do anything, then Bladd a Pyaar Uu Year Se Dekalabad",positive
"Thank you and return to Anna for Anna, your business day grateful and Honrade boy",positive
It is just mentioned at how there is a cheap mindset if there is a crisis in Monk Banne,neutral
Delete Basta Paul Gescoigne Video You Ever Watching,positive
America is this great country and ette away always to think of great country,neutral
Crackic so many hove sacrifice their lives so they can enjoy the freedom of delete blessings,positive
"Head Rahul, you are not worried, you do not lose, I do not lose.",negative
"To say this, there was a stone that came out",neutral
By the way,negative
Tamanna Uing all delete best namo again,positive
delete,positive
Watch S Channel made Kamin Pani Didi spokes,positive
Now the new terrorist distributing India well,negative
Congratulations to Amit Bhai strong Bhoomat,positive
Mr. Narendra Modi ji killed you Sadar Naman,positive
Retweet for,positive
You will die a bad death by killing you by killing you,negative
Adrania Narendra Modi ji became AP every time,positive
Very good slip bulls to do kumari,neutral
Chutio are not tanned,negative
"Das Bhai, we don't want Babri Masjid",neutral
Its Kisino IRCTC's helpline was caught and this number of this dialect,neutral
But Wu too mother ash leeti,neutral
"Ha right sauna highth emails like Pahal yourself, bring your own system",negative
This was not understood by the police that such people are not understood now,negative
Friends have called so many videos to life,neutral
How to learn from Kui S Mahatma,negative
If the media also started boycotting Congress,negative
"These are the confusions of the confuse, they have not done it, it did not happen to the Hindu Kui religion",neutral
Ajj of undoubted,positive
Hindu Hindu and Hinduthan,neutral
This is chanting corruption in Uttarakhand.,negative
Thank you fuck,positive
"How is Nut Sura in Rajput e -times, this is going to be a fantasy story, you want to make a happy birthday, so think",positive
Pallavi can give you some love,neutral
"Hello Mam congratulations, they are really overwhelmed by you who have really earned your hard earned victory",neutral
There are green privatization but more electricity than the back village,positive
Rahul Raha at Bero Uin and was the real champion's world cup as nature is like that,positive
Who was Bhagat No et.,neutral
Cruel gawar does not reduce the knowledge of books.,neutral
Sarita sau na means this thing,neutral
Very good good,positive
Cowdy's film Maker Exit,negative
As much as,neutral
Mr. I want you to meet you or I want to catch you on Karna of Bundelkhand fantasy story defeat,positive
E Really Love Iot Thanks May Dear Tum Ray Special,positive
"In Etna Sali, the first time did not see the swearing in seen every victory, but this election",negative
"May I go to Sudhra, ever I had to eat two streets, every time Gandhi family",negative
"Instead of these subordos, you would write that this face was welcome.",neutral
Who says the relationship is hurting.,neutral
Up Kr alpaz proved to be proved,positive
Never bammistak,neutral
"Watching good picus good lamp is fine to the beautiful Laura and Lehson, but what is the delay",positive
Ambudan shut down,neutral
"Sirji did not sit with you, never sit with you",negative
Cae sang,positive
"Rofiq Afroz, it will not stay away from me or else it will give it to its feelings",negative
"The same thing is good, good",neutral
Ids are people who are people who,neutral
What do you get to Tom cabbage devotees are only talking about talking,negative
Modi Mudi says that Hindustan has completed Kathamulo's shoes,neutral
Jai Xi collides with all the partition of all the people,positive
"When the Congress spokesperson did Batamiji in the debate, Delete was not stopped by him.",neutral
Polyn Kr dogs are all vocited,negative
"The entire team baked out by hitting the dear, Modi did it",negative
I will be killed by throwing a blessing of the elder Saheb,negative
"Hariom, these people never have any greens",negative
"People are getting jealous of my ed, today the Eid report is good today.",positive
Serious head salute you bloom,positive
Rosie ind right now,positive
"Apart from this, we do something apart from this",negative
"Prayer Paaye Non E Asha E will win e -e -e -e -e -sorry, you are going to read which Iot Si was the last",positive
Rajput Khalid Hare thank you brother now,positive
Thank you so much,neutral
Tax you seats and rent,neutral
Congratulation,positive
